Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Coinbase Custody,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,0,47602249032841,47602249032841,20.00%,Y,Y,1,0/10,N,"CEX, commission>10%, top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
Upbit Staking,cosmosvaloper1x8efhljzvs52u5xa6m7crcwes7v9u0nlwdgw30,0,16630317227341,16630317227341,100.00%,Y,Y,1,0/10,N,"CEX, commission>10%, top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
Cosmostation,cosmosvaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4epsluffn,175712248938,13093103677231,12917391428293,5.00%,N,Y,0.999,9/10,N,top_N_stake,4.48%,
Everstake,cosmosvaloper1tflk30mq5vgqjdly92kkhhq3raev2hnz6eete3,279411950,10989837866154,10989558454204,8.00%,N,Y,1,9/10,N,top_N_stake,0.01%,
Kraken01,cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,0,10053286702382,10053286702382,10.00%,Y,Y,1,0/10,N,"CEX, top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
DokiaCapital,cosmosvaloper14lultfckehtszvzw4ehu0apvsr77afvyju5zzy,0,8634077316611,8634077316611,15.00%,N,Y,1,2/10,N,"commission>10%, top_N_stake, gov<5/10 (fraction=0.200)",0.00%,
Kiln,cosmosvaloper15gyzcp2kas2yntv9k3p0zm4k8y6e89ecmkeqee,0,8332771230411,8332771230411,8.00%,N,Y,0.998,1/6,N,"top_N_stake, gov<5/10 (fraction=0.167)",0.00%,
Ledger by Chorus One,cosmosvaloper10wljxpl03053h9690apmyeakly3ylhejrucvtm,0,8255426465216,8255426465216,7.50%,N,Y,1,0/10,N,"top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
Binance Node,cosmosvaloper18ruzecmqj9pv8ac0gvkgryuc7u004te9rh7w5s,0,7418608738956,7418608738956,5.00%,Y,Y,1,0/10,N,"CEX, top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
SG-1,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,0,6798604310352,6798604310352,5.00%,N,Y,1,9/10,N,top_N_stake,0.00%,
Allnodes,cosmosvaloper1n229vhepft6wnkt5tjpwmxdmcnfz55jv3vp77d,40300000,6667718041528,6667677741528,5.00%,N,Y,1,9/10,N,top_N_stake,0.00%,
Blockdaemon,cosmosvaloper10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym5mpakx,0,5704650592093,5704650592093,10.00%,N,Y,1,4/10,N,"top_N_stake, gov<5/10 (fraction=0.400)",0.00%,
CloudByte,cosmosvaloper1wvt5zugk97mrl5rm9c3m573f9gj03w2gyh8m5v,0,5620140395117,5620140395117,5.00%,N,Y,1,0/10,N,"top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
P2P.org,cosmosvaloper132juzk0gdmwuxvx4phug7m3ymyatxlh9734g4w,0,5342453019055,5342453019055,8.00%,N,Y,1,9/10,N,top_N_stake,0.00%,
Chorus One,cosmosvaloper15urq2dtp9qce4fyc85m6upwm9xul3049e02707,0,5302046266543,5302046266543,7.50%,N,Y,1,7/10,N,top_N_stake,0.00%,
Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,0,4790059770518,4790059770518,9.00%,N,Y,1,0/10,N,"top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
🐠stake.fish,cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0,676422680,4466911831978,4466235409298,5.00%,N,Y,1,2/10,N,gov<5/10 (fraction=0.200),0.02%,
Informal Systems,cosmosvaloper16k579jk6yt2cwmqx9dz5xvq9fug2tekvlu9qdv,224152277063,4239488956080,4015336679017,5.00%,N,Y,1,5/10,Y,OK,5.72%,8.00%
GAME,cosmosvaloper1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqgfnp42,0,3980794109343,3980794109343,5.00%,N,Y,0.99,10/10,Y,OK,0.00%,8.00%
