Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
pendulum,sommvaloper1yk2sgj9a2tfd77fc4eqa6gv2mysu0xglyksy5t,15746800181,17161404327,1414604146,10.00%,N,N,,,N,inactive,1.02%,
Agaram.ai,sommvaloper1n6sqhcpypv9ln7f5x3mxleh4rdqr3vz5mf0t0e,0,1117861514,1117861514,4.00%,N,N,,,N,inactive,0.00%,
MCB | mcbnode,sommvaloper1a9a8cturxgnle2vuylefgc5e4jhasq24vtyr6l,0,1001948891,1001948891,10.00%,N,N,,,N,inactive,0.00%,
Bi23 Labs,sommvaloper1mpp46nnk5jv9n4pj4qrgget8edd33me98zeggw,0,764443378,764443378,1.00%,N,N,,,N,inactive,0.00%,
[DECOMISSIONED] AUDIT.one,sommvaloper126ked9t3g56dmtmuk49x469n8g69wmnc23w9rc,0,507650352,507650352,7.00%,N,N,,,N,inactive,0.00%,
K-BLOCK,sommvaloper1l6qlv387h0a4dg5ycnks0sn65yg7unmeflmm6n,0,500000000,500000000,5.00%,N,N,,,N,inactive,0.00%,
🍀LuckyFriday.io🍀,sommvaloper1f6fqcmsd37xmhr2l7r6888k9330lke0zh9feua,0,372520189,372520189,5.00%,N,N,,,N,inactive,0.00%,
Numenor,sommvaloper1mrjmwll7j5f7typ9vlxc4n6a86gcx06a38x4h8,0,284284989,284284989,4.00%,N,N,,,N,inactive,0.00%,
Notional,sommvaloper1cw06qhphery5lqn3vjqc4m4yh8apg58nyutqj6,0,226200245,226200245,5.00%,N,N,,,N,inactive,0.00%,
web34ever,sommvaloper1ktla4k293jqxc94rjrlcfslca4vd4gjejgvlua,0,221953959,221953959,5.00%,N,N,,,N,inactive,0.00%,
andfat,sommvaloper1vgzaw8vtxh7lg2gy8whgjfx9tctd3zk3dsuvsh,0,145074284,145074284,10.00%,N,N,,,N,inactive,0.00%,
NodesTeam,sommvaloper17jcayl0fl8umd0kf2rdqmsfqwj3m4w303ysuw4,0,133023196,133023196,5.00%,N,N,,,N,inactive,0.00%,
Mendel,sommvaloper1h2r2k24349gtx7e4kfxxl8gzqz8tn6zyzx3dg5,0,118020000,118020000,5.00%,N,N,,,N,inactive,0.00%,
redelegate_please,sommvaloper1gpuzjgzdd76kq2argx03qt76ufug523rjqu7v5,0,116491342,116491342,0.00%,N,N,,,N,inactive,0.00%,
A-gaming,sommvaloper1vakxysy6cuf2gt48hl6n5e5nff6ze90rw7y58p,0,113036615,113036615,10.00%,N,N,,,N,inactive,0.00%,
elsehow,sommvaloper15947zdpdj4xkwm2wleeklqnjp7yx2j7d5533ea,0,110020000,110020000,10.00%,N,N,,,N,inactive,0.00%,
NodeX Emperor,sommvaloper1328yrqc6fmffctnd8r8qsac8mpnxf5g9gackpa,0,50433751,50433751,5.00%,N,N,,,N,inactive,0.00%,
REDELEGATE,sommvaloper1s0q3gzr4cudrsgj6w6gmqknhzg8lwrk0dj526h,0,47020000,47020000,1.00%,N,N,,,N,inactive,0.00%,
Two Buck Chuck,sommvaloper10paav5qvqvxn2ycqlrfj2ncpl5c43h745c0trs,0,32438678,32438678,20.00%,N,N,,,N,"inactive, commission>10%",0.00%,
QuantaTech,sommvaloper1vf2sle0zvqskujsyrj2kjyrm3vxlsyy3t650hv,0,24859998,24859998,5.00%,N,N,,,N,inactive,0.00%,
Sr20de,sommvaloper1z6fn72t5kxrhs7p53k3w2mywu397c4ngen2tkh,0,5260085,5260085,5.00%,N,N,,,N,inactive,0.00%,
Please Redelegate,sommvaloper1dja5wlx2zk749w7wlynj0m8vduc2hesq79tyt4,0,1806179,1806179,5.00%,N,N,,,N,inactive,0.00%,
test-validator,sommvaloper19rgjf6l7tf88hd95hqf8xnzmzhwch2avt6cdev,0,1433751,1433751,10.00%,N,N,,,N,inactive,0.00%,
0% commission | Staky.io,sommvaloper1vsd4vxwjppxrlvszd90dpwnpxqtlvyld7xrmmv,0,1433751,1433751,0.00%,N,N,,,N,inactive,0.00%,
frenchchocolatine,sommvaloper1pqdwmavwyqz7faxtxnphnz99cuufjq5p9p5nxf,0,1020000,1020000,5.00%,N,N,,,N,inactive,0.00%,
Bitference,sommvaloper1pav432dxethg7pzjqk7qejych7xp0td95ahqlf,0,1020000,1020000,1.00%,N,N,,,N,inactive,0.00%,
Stakeme,sommvaloper19ygfsu5e5tk504jr5js8tvvxqcspksxtatcvc0,0,1020000,1020000,5.00%,N,N,,,N,inactive,0.00%,
test-validator,sommvaloper1fu4za4m34c5amm4j69kt64335vr0zzdc2q64x0,0,1020000,1020000,10.00%,N,N,,,N,inactive,0.00%,
Biker4b,sommvaloper1wcmpn5zjcv63fstfsjnd6dnt6qzx83dwrx3tg5,0,1020000,1020000,5.00%,N,N,,,N,inactive,0.00%,
MYMONIKER,sommvaloper1kpp7wg3cqnjsy85jtaqyauk2mtqqnmlvsgauxr,0,1020000,1020000,10.00%,N,N,,,N,inactive,0.00%,
Nala DAO,sommvaloper1kz3k09tpc0zrdhklnre99kl5cu9q3cktz7pdhs,0,1020000,1020000,5.00%,N,N,,,N,inactive,0.00%,
Test Validator,sommvaloper1u7yv8wt9pcwvvcf7ugz0r5tttgzeezcj3j6mrc,0,1020000,1020000,1.00%,N,N,,,N,inactive,0.00%,
MMS,sommvaloper1aklv65wg7q2w8usrljjffvhp8u2plvw0ejfh58,0,1020000,1020000,1.00%,N,N,,,N,inactive,0.00%,
test-validator,sommvaloper1lzmhl5lfhjkh9lzq5tghwquyg3yrjn5jxcszkg,0,1020000,1020000,10.00%,N,N,,,N,inactive,0.00%,
skynodejs,sommvaloper1th6g4q63ee0x3wr5tctrxsh3lugj2up6n4damn,0,1010000,1010000,1.00%,N,N,,,N,inactive,0.00%,
Sommelier Test,sommvaloper1f6ktnu2a5mqvu9xkztdeyuf6v58va3yvr2us5w,0,1000000,1000000,0.00%,N,N,,,N,inactive,0.00%,
test-validator,sommvaloper1uwtheuyfg558xp6cm4g506vw5u9x2kdpwn5g65,0,520000,520000,10.00%,N,N,,,N,inactive,0.00%,
gdasomm,sommvaloper173r06t4pck46ynhpvt0p28us8puxn9c9jzg45p,0,120000,120000,10.00%,N,N,,,N,inactive,0.00%,
.agaric,sommvaloper1lec8mgdjnrry80qwq9upwcqk85446kdflkpt34,0,110000,110000,5.00%,N,N,,,N,inactive,0.00%,
testtest,sommvaloper18m02d0lyq7vlvanl73qj052scecuhazsjs5z8p,0,20100,20100,15.00%,N,N,,,N,"inactive, commission>10%",0.00%,
Stakernode,sommvaloper1dr9295zl7v4z3hl9rszv0v552wrjw7lpxh0n4m,0,20000,20000,5.00%,N,N,,,N,inactive,0.00%,
Primecore,sommvaloper139dj5c2g4w4xe2s57e3hsmwa3ypzy3xl6vs45r,0,20000,20000,10.00%,N,N,,,N,inactive,0.00%,
sc-test-validator,sommvaloper1u6supkvxtadw6hkzvx96gh9pztydyuhmase9w4,0,20000,20000,10.00%,N,N,,,N,inactive,0.00%,
node101,sommvaloper1lrzxwu4dmy8030waevcpft7rpxjjz26ca5ecpm,0,20000,20000,5.00%,N,N,,,N,inactive,0.00%,
Dora Factory Unbond,sommvaloper1mga0ugws0xrua3aap9v0t4vwe3mve8k6exqwyh,0,10000,10000,10.00%,N,N,,,N,inactive,0.00%,
SHUTTING DOWN SOON,sommvaloper1ueuryq63996wjeta00w7n3s8vunhm0d8vq70kd,0,10,10,5.00%,N,N,,,N,inactive,0.00%,
