Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Zellic,injvaloper13v0sulppc8pgtk4907p3vaqgq54vyl9yqmf7av,0,5651075462020040159624655,5.65108E+24,5.00%,N,Y,,,Y,OK,0.00%,8.00%
Informal Systems,injvaloper10xhy8xurfwts9ckjkq0ga92mrjz9txyygymqzp,363467027254925884897,4097271792842570992977981,4.09691E+24,5.00%,N,Y,,,Y,OK,1.47%,8.00%
SCV-Security,injvaloper19a77dzm2lrxt2gehqca3nyzq077kq7qsgvmrp4,0,3256246755763525001061659,3.25625E+24,5.00%,N,Y,,,Y,OK,0.00%,7.98%
Figment,injvaloper1g4d6dmvnpg7w7yugy6kplndp7jpfmf3krtschp,1345551666729218240609,3144193597789310101783254,3.14285E+24,5.00%,N,Y,,,Y,OK,5.44%,7.70%
Binance Staking,injvaloper1lsuqpgm8kgwpq96ewyew26xnfwyn3lh3ncrkrk,0,3010268446500622651436779,3.01027E+24,7.00%,Y,Y,,,N,CEX,0.00%,
Everstake,injvaloper134dct56cq5v7uerxcy2cn4m06mqf4dxrlgpp24,1834259580382517752535,2263362474099013785857475,2.26153E+24,10.00%,N,Y,,,Y,OK,7.41%,5.54%
Kraken,injvaloper1w3psm8a9td2qz06s46cxss03mz5umxaxegvhhs,0,2150920183074948108709339,2.15092E+24,10.00%,Y,Y,,,N,CEX,0.00%,
Cointelegraph Decentralization Guardians,injvaloper1vgu49xjgle9k84smvrwlyuc38u0cakuz7q3a5f,0,2000796344538535754405059,2.0008E+24,10.00%,N,Y,,,Y,OK,0.00%,4.90%
Deutsche Telekom,injvaloper1nngrhnm65wm8pu7wkah6hfs3vpd0xw463ydd65,0,1457146450479649576539472,1.45715E+24,7.00%,N,Y,,,Y,OK,0.00%,3.57%
Injective Foundation,injvaloper1xnhwtlx47guamp36wkmnk6h4y7eqqn7jr8xcve,0,1430160687199005907092710,1.43016E+24,100.00%,N,Y,,,N,commission>10%,0.00%,
Cosmostation,injvaloper1rvqzf9u2uxttmshn302anlknfgsatrh5v7fl7e,831398726761990070072,1415714924319458540215262,1.41488E+24,5.00%,N,Y,,,Y,OK,3.36%,3.47%
