Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
HighStakes.ch | Daily Airdrops,osmovaloper1czsuul2n7252wcrvk9dvjcjg2qn2qcdd9ue74s,22270824437,2914005582707,2891734758270,5.00%,N,Y,1,10/10,Y,OK,0.17%,4.80%
Margined Protocol,osmovaloper1et4d3he94fs5u98kzms7s0fjhpaf5hx7q6fuy5,130825185839,2989368067419,2858542881580,5.00%,N,Y,1,0/10,N,gov<5/10 (fraction=0.000),0.99%,
Parakeet,osmovaloper1prmsfrgvla0u8x3kwc8k0mcqqve3h8y73d37nm,0,2824460339052,2824460339052,100.00%,N,Y,0.998,0/10,N,"commission>10%, gov<5/10 (fraction=0.000)",0.00%,
POSTHUMAN 🧬 StakeDrop,osmovaloper1e8238v24qccht9mqc2w0r4luq462yxttfpaeam,120135190109,2898208339720,2778073149611,5.00%,N,Y,0.969,10/10,Y,OK,0.91%,4.61%
DKCMC,osmovaloper144xwxcrlntp4wjadhrylzc6p3vdzscye6t3f76,59304023929,2803453694137,2744149670208,5.00%,N,Y,1,0/10,N,gov<5/10 (fraction=0.000),0.45%,
Provalidator,osmovaloper1gy0nyn2hscxxayj2pdyu8axmfvv75nnvhc079s,97737103818,2791775363512,2694038259694,5.00%,N,Y,1,0/10,N,gov<5/10 (fraction=0.000),0.74%,
Stakely.io,osmovaloper1z5xyynz9ewuf044uaweswldut34z34z3cwpt7y,52813669379,2725507444517,2672693775138,5.00%,N,Y,1,8/10,Y,OK,0.40%,4.44%
Ping,osmovaloper1jxv0u20scum4trha72c7ltfgfqef6nscqx0u46,114535668536,2686195692781,2571660024245,5.00%,N,Y,0.996,4/10,N,gov<5/10 (fraction=0.400),0.87%,
01node,osmovaloper1xaz2yf5l0qcta60nlc9v4vzufz2r3swte7y8xd,0,2549729499755,2549729499755,5.00%,N,Y,0.999,9/10,Y,OK,0.00%,4.23%
"Stargaze.zone (✨,🔭)",osmovaloper1et77usu8q2hargvyusl4qzryev8x8t9weceqyk,26597727470,2549285027308,2522687299838,5.00%,N,Y,1,0/10,N,gov<5/10 (fraction=0.000),0.20%,
IcyCRO 🧊,osmovaloper1nna7k5lywn99cd63elcfqm6p8c5c4qcu6ex2gp,75720803087,2547749153806,2472028350719,5.00%,N,Y,0.999,0/10,N,gov<5/10 (fraction=0.000),0.58%,
Chihuahua,osmovaloper15knxwwzq38lwe3e3rul8cpcew9n6u0gq7x38cj,63121879548,2477157889589,2414036010041,5.00%,N,Y,1,1/10,N,gov<5/10 (fraction=0.100),0.48%,
