Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
P-OPS Team,celestiavaloper1ac4mnwg79gyvd0x5trl2fgjv07lgfas02jf378,8540413438,23797797691359,23789257277921,10.00%,N,Y,0.988,5/5,N,top_N_stake,3.36%,
BinanceNode,celestiavaloper1mpt4chntuewyktq64fgrszjp6ly7we5a3t4a8l,0,19794997671835,19794997671835,10.00%,Y,Y,1,0/5,N,"CEX, top_N_stake, gov<2/5 (fraction=0.000)",0.00%,
P2P.org 💙,celestiavaloper1r4kqtye4dzacmrwnh6f057p50pdjm8g59tlhhg,16441574392,18855574256416,18839132682024,10.00%,N,Y,1,5/5,N,top_N_stake,6.46%,
Qubelabs,celestiavaloper1j2jq259d3rrc24876gwxg0ksp0lhd8gy49k6st,4602618011,16048274233429,16043671615418,10.00%,N,Y,1,5/5,N,top_N_stake,1.81%,
bitcoinsuisse.com,celestiavaloper1emku8jrvf9dzu80n3sx7wx50chpgjhrws9x62u,0,14705174058348,14705174058348,100.00%,Y,Y,1,0/5,N,"CEX, commission>10%, top_N_stake, gov<2/5 (fraction=0.000)",0.00%,
Figment,celestiavaloper1xqc7w3pe38kg4tswjt7mnvks7gy4p38vtsuycj,8796114440,11202892931917,11194096817477,10.00%,N,Y,0.999,0/5,N,"top_N_stake, gov<2/5 (fraction=0.000)",3.46%,
Finoa Consensus Services,celestiavaloper1e2p4u5vqwgum7pm9vhp0yjvl58gvhfc6yfatw4,23908043640,10319712276853,10295804233213,10.00%,N,Y,1,0/5,N,"top_N_stake, gov<2/5 (fraction=0.000)",9.40%,
bitwise,celestiavaloper17gtfnhhcgz7ltnkn8vaqaqjuujvu2vqf2pe9c7,0,10000070057416,10000070057416,10.00%,N,Y,1,0/1,N,"top_N_stake, gov<2/5 (fraction=0.000)",0.00%,
Cosmostation,celestiavaloper1uqj5ul7jtpskk9ste9mfv6jvh0y3w34vtpz3gw,7747740333,9682858160418,9675110420085,10.00%,N,Y,0.998,5/5,N,top_N_stake,3.05%,
Kraken,celestiavaloper1pmn4cjwf26hkcpvyl322glhpdpcemcel8ca2vl,1713196692,9127614716072,9125901519380,10.00%,Y,Y,0.996,0/5,N,"CEX, top_N_stake, gov<2/5 (fraction=0.000)",0.67%,
Anchorage Digital,celestiavaloper1llfydg9q5fnfuc0lfrwwqnvpywnw97lmvek8jf,0,8024820547388,8024820547388,10.00%,N,Y,0.998,0/1,N,"top_N_stake, gov<2/5 (fraction=0.000)",0.00%,
Keplr,celestiavaloper1uwmf03ke52vld2sa9khs0nslpgzwsm5xs5e4pn,6469235330,7563344900463,7556875665133,10.00%,N,Y,0.999,5/5,N,top_N_stake,2.54%,
Staking Facilities,celestiavaloper1wu24jxpn9j0580ehjz344d58cf3t7lzrrgqmnr,4346917013,7321459126427,7317112209414,10.00%,N,Y,1,4/5,Y,OK,1.71%,8.12%
Binary Builders,celestiavaloper15kpw453rgqrranltr8pcy9muryf3jjd7esw38j,4935029316,6980261341174,6975326311858,10.00%,N,Y,1,4/5,Y,OK,1.94%,7.74%
Hex Trust,celestiavaloper1ftmw4wh8dq2ljw0xq3xgg00dl7l20se3lrml7q,4219066508,6700039302552,6695820236044,10.00%,N,Y,0.987,0/5,N,gov<2/5 (fraction=0.000),1.66%,
