Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
STAKE MARS,evmosvaloper13xc78t8vte4ta4p5jg9gcxq6w376qfd7lg70jp,0,160596649536155177056,1.60597E+20,5.00%,N,N,,,N,inactive,0.00%,
Pulse Stars,evmosvaloper186u36jta2hsxgk5lg8mr6t6fn7r35knxxemkf4,0,158870606177850856168,1.58871E+20,5.00%,N,N,,,N,inactive,0.00%,
CafeValidator,evmosvaloper13lnsd9psz0usm5gy6y55xp4v64kt54ltnlhmmm,0,153230000097842374379,1.5323E+20,5.00%,N,N,,,N,inactive,0.00%,
Orbital Command,evmosvaloper1f02m4jkx2p9r9ps50j87e0kmjaggru07lldfwy,0,150318812197416660250,1.50319E+20,5.00%,N,N,,,N,inactive,0.00%,
i1off,evmosvaloper1vs0vvzpudrattan5pqs9caa38uavj4679rt5pn,0,148139223961401850323,1.48139E+20,10.00%,N,N,,,N,inactive,0.00%,
Sigma,evmosvaloper1gxfglzw5g8l429fewcwfrdhtfml2qtysp8t8nm,0,129360039249462774085,1.2936E+20,5.00%,N,N,,,N,inactive,0.00%,
MoveMove,evmosvaloper1vwvv3y7k797zpkfnq97z65egmpsexqsc43awvx,0,129205001025052194572,1.29205E+20,5.00%,N,N,,,N,inactive,0.00%,
Stake-Take,evmosvaloper1adl6xd3klu689caymhn6hhakpfues5e30n5p3m,0,124601880294393688024,1.24602E+20,5.00%,N,N,,,N,inactive,0.00%,
Summit Node - Pls Redelegate,evmosvaloper192gu3czvj3x6rp5fe6vl6vsaw95g86uqlsayla,0,124355002490222188497,1.24355E+20,5.00%,N,N,,,N,inactive,0.00%,
OZMAGE - REDELEGATE TO ZENITH STATION,evmosvaloper1aafywn5c85v2m06wr9famd0p4wp8grt0pcsfsy,0,118588245691356931572,1.18588E+20,5.00%,N,N,,,N,inactive,0.00%,
Evmosis,evmosvaloper1t2qca5lssa3vzcvacfeck0wrtq5sqq6upz2h07,0,102480026473181071139,1.0248E+20,5.00%,N,N,,,N,inactive,0.00%,
Suntzu | AZclub.pro,evmosvaloper1g42a23klcwhdmmkmq43d8awe6xdtsuk6nlaevz,0,102178486107726638710,1.02178E+20,5.00%,N,N,,,N,inactive,0.00%,
SweepStake,evmosvaloper1862ed57tg9vrjm34r03n0l427ufzj3z8nmqwp7,0,97841209145723878434,9.78412E+19,5.00%,N,N,,,N,inactive,0.00%,
