Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Knuth,bandvaloper1wja9nds8klxcjurvxerdsun4t52zfjvqpj6y54,0,9420353771283,9420353771283,100.00%,N,Y,,,N,commission>10%,0.00%,
Tarjan,bandvaloper1m88fha4982ev7smptzu8a7wvt8wkxdvfewh2md,0,9415238304530,9415238304530,100.00%,N,Y,,,N,commission>10%,0.00%,
Hamming,bandvaloper128dkddh98pfwdxg07t36fxedczthg0p2mdcs42,0,8702269032154,8702269032154,100.00%,N,Y,,,N,commission>10%,0.00%,
Dijkstra,bandvaloper1r00x80djyu6wkxpceegmvn5w9nx65prgqhxkzq,0,8498063340569,8498063340569,100.00%,N,Y,,,N,commission>10%,0.00%,
Kruskal,bandvaloper1f6htx23e4xfu0dkpa2ck2kk63la2ej947cq0w4,0,8458861381810,8458861381810,100.00%,N,Y,,,N,commission>10%,0.00%,
Binance validator,bandvaloper153znf8a89gmunexzrg2ud2yz47gyer9c05t2l8,0,4800712536271,4800712536271,2.50%,Y,Y,,,N,CEX,0.00%,
Cosmostation,bandvaloper17d3uhcjlh4jyqcep82jfsrg8avsngklxxan5tg,45973693691,3452488574141,3406514880450,10.00%,N,Y,,,Y,OK,9.09%,8.00%
figment,bandvaloper1zm5p8gg3ugjcdwz9yrxaf6fdptxa4gw04rplr9,45973694196,3389485456479,3343511762283,10.00%,N,N,,,N,inactive,9.09%,
sorawit,bandvaloper1ycs4g7xu8wmf7n4vwwtfsvhtfm7tekvwk34rxz,45973693691,3071924156512,3025950462821,10.00%,N,Y,,,Y,OK,9.09%,8.00%
Nansen | Stake to Stack Points,bandvaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvn4hl7n,45973693691,2625350149390,2579376455699,10.00%,N,Y,,,Y,OK,9.09%,6.95%
Chorus One,bandvaloper15urq2dtp9qce4fyc85m6upwm9xul3049fz627w,0,2506681282421,2506681282421,10.00%,N,Y,,,Y,OK,0.00%,6.75%
B-Harvest,bandvaloper1q894x7p4ugl3q5l47e8ksll5k5lmx74fxqez5y,45973693691,2550406025657,2504432331966,10.00%,N,Y,,,Y,OK,9.09%,6.75%
Active Nodes,bandvaloper1nqmeykpnqdccxf2kfqnwszy748ll3qlzu0heyt,45973693691,2087902520787,2041928827096,6.90%,N,Y,,,Y,OK,9.09%,5.50%
Forbole,bandvaloper14kn0kk33szpwus9nh8n87fjel8djx0y0wz502z,0,2017212353505,2017212353505,10.00%,N,Y,,,Y,OK,0.00%,5.44%
Wanchain,bandvaloper1lksevk5362eterq75haf7wxx6jdpgdzyd9ms9h,45973693691,1557648302360,1511674608669,10.00%,N,Y,,,Y,OK,9.09%,4.07%
HashKey Cloud,bandvaloper1dr64r506ln5n3aqqgkccf56uwdd9d9jvlh9l4p,45973693691,1547700681112,1501726987421,10.00%,N,Y,,,Y,OK,9.09%,4.05%
Citadel.one,bandvaloper10grrhfawl98ypn5x25zmqcp8f20eg9sw56v3e0,45973693691,1204080793181,1158107099490,5.00%,N,Y,,,Y,OK,9.09%,3.12%
Wellstake,bandvaloper1cuc594q8uam3rx90tztgplssnymlqnr5epmsjq,45973693691,1146715150822,1100741457131,10.00%,N,Y,,,Y,OK,9.09%,2.97%
polkachu.com,bandvaloper1cmx8hvx8pn9ezuc57rgy3dqqlkju6uph3mjwxs,0,1041529685778,1041529685778,1.00%,N,Y,,,Y,OK,0.00%,2.81%
Ubik Capital,bandvaloper14wuzcsyttmyedc7e7z7e0exhg8k94x6eulj6pt,0,1031116090450,1031116090450,10.00%,N,Y,,,Y,OK,0.00%,2.78%
Stakecito,bandvaloper1p26kdh5fx24qz9xa5jtjje8ha8ee9q44nrsc8c,0,1029884042577,1029884042577,5.00%,N,Y,,,Y,OK,0.00%,2.77%
WeStaking,bandvaloper1qgvcttnjx3enjqg9pnhclt6d4z7qdknavg4q9c,0,1019328040905,1019328040905,10.00%,N,Y,,,Y,OK,0.00%,2.75%
Imperator.co,bandvaloper1lvnlajgsn6mkx0p33g7ge6jyfpjlhrpv7clhqk,0,1009628699161,1009628699161,10.00%,N,Y,,,Y,OK,0.00%,2.72%
htx,bandvaloper1aqqfs9dftsmdnp3tuzqfvpwd4768mj42pd67ea,0,1000001000000,1000001000000,10.00%,N,Y,,,Y,OK,0.00%,2.69%
InfStones,bandvaloper1hln9scsl9yqup8nxyum06rmggql5m5zqwxmt3p,0,1000000875433,1000000875433,10.00%,N,Y,,,Y,OK,0.00%,2.69%
Stake Shark,bandvaloper1nguv0kdayw7qhy6d354el4f87d67ynt52wrdk3,0,953835129078,953835129078,10.00%,N,Y,,,Y,OK,0.00%,2.57%
Finality,bandvaloper1y6cjh2xy6550kw63wxzgyse85vxues809z3sys,0,802238436882,802238436882,5.00%,N,Y,,,Y,OK,0.00%,2.16%
Enigma,bandvaloper1pp534se9rmt59d5zkv4p8cp6jj5zxm4uxdhejs,0,700356820756,700356820756,5.00%,N,Y,,,Y,OK,0.00%,1.89%
StakeCraft,bandvaloper1unfg2zhnssl07tql8d85zc6rx7zsfs5qh206av,0,605613913534,605613913534,10.00%,N,Y,,,Y,OK,0.00%,1.63%
HighStakes.ch | Daily Airdrops,bandvaloper1uytng9pl50mtedmsdrzanvy8vgxttvysw59ugd,0,538707512122,538707512122,5.00%,N,Y,,,Y,OK,0.00%,1.45%
Stakewolle.com | Auto-compound,bandvaloper1hcu2spr3r80v36us40mg938f5qhaqq2qeajtfv,0,535767265216,535767265216,4.00%,N,Y,,,Y,OK,0.00%,1.44%
BitNordic,bandvaloper1qzl2ckmfv83w4f65rf77utuc5jmhtexpjxjyzw,0,512336820367,512336820367,5.00%,N,Y,,,Y,OK,0.00%,1.38%
w3coins,bandvaloper1hdw8pzr79y4at0teak0mwcrjhv3e6n3wegfv2m,0,511092473283,511092473283,10.00%,N,Y,,,Y,OK,0.00%,1.38%
