chain_id,validator_name,validator_address,target_weight
dydx-mainnet-1,Keplr,dydxvaloper1jvct2ck9hptwyzrr0umfvwxed7n9nhhj0wfmdf,1068
dydx-mainnet-1,polkachu.com,dydxvaloper15xgxv2j45uc4er8z9tfz5m0f0e74ymv6xj9l9d,888
dydx-mainnet-1,Kiln,dydxvaloper1u9xeaqdjz3kky2ymdhdsn0ra5uy9tc3elj2jte,827
dydx-mainnet-1,TTT VN,dydxvaloper1r227t4qx8muzshsl862n4cgdswsesyd0pp42un,696
dydx-mainnet-1,Crosnest,dydxvaloper1y6ncfxx8x9sqec97pehjw0k32slw63850ltjrn,684
dydx-mainnet-1,PRO Delegators,dydxvaloper1rqhxemv6e5x43uny8qdyq78zneuk49pe5gkltz,640
dydx-mainnet-1,Stakecito Labs,dydxvaloper18jr2wx3qsu8g9gep6jypcxunx2jvcjquxk60wc,631
dydx-mainnet-1,Kingnodes 👑,dydxvaloper1j4ljutnh66r55a29jydgca7pfmhd40e3nlcfa4,627
dydx-mainnet-1,Solva (CryptoCrew) X Defi Dojo,dydxvaloper199fjq4rnfvz24cktl8cervx8h8e90ruk3yrrdn,600
dydx-mainnet-1,Nodes.Guru,dydxvaloper19ylcqyrgsejrghujsf6utrgw69nukw9q0xe0sj,484
dydx-mainnet-1,Ledger by Meria,dydxvaloper1gffkd68xcnfpzcsplf0fsuetxkysunud6a900w,475
dydx-mainnet-1,Imperator.co,dydxvaloper1mwhwf9rqh64ktr8t8xnz37nhg7vvy42ec56jwe,444
dydx-mainnet-1,AutoStake 🛡️ Slash Protected,dydxvaloper1gf9yvztyvnc3aqrkjd8hfnaf8pk56sl7mzfage,414
dydx-mainnet-1,DragonStake 🐲,dydxvaloper1he9yn4jhuq50vtf95ncv9rvplnqug8w9yw8dwc,393
dydx-mainnet-1,Smart Stake,dydxvaloper1t8hjjca8kecjtuhs2qy83maurj78fq2z5c44z5,382
dydx-mainnet-1,Luganodes,dydxvaloper1fs0t34g628xdqc8alfefnadq2x3qawt8g88mav,338
dydx-mainnet-1,Silk Nodes,dydxvaloper1w44vfk3jzh69p7yawwqcaazuxz944ve95qpaf8,240
dydx-mainnet-1,DELIGHT,dydxvaloper1mnj3vlwgud7fvfx7tgawmx8k2gd40fy2amarjg,169
haqq_11235-1,Haqq Association,haqqvaloper16lp0xpq87cre5z4jkfddq78r5l4vcd7el2jlmj,798
haqq_11235-1,Allnodes,haqqvaloper15eafuvcrh3c07z4g3pqgq68n3lmsyu5jd9swsy,800
haqq_11235-1,STAKEME,haqqvaloper1p02zk5ecdanap637e2wtt82cucjlxtkrhus623,800
haqq_11235-1,polkachu.com,haqqvaloper1th8c90trv8pfvsqf2n9p4whlcdew2yy2wcmgnp,800
haqq_11235-1,POSITIVA Ultra,haqqvaloper1zsujldhz9azrfewl0gex5ey8f6kvf9dk6ufk47,800
haqq_11235-1,Lavender.Five Nodes 🐝,haqqvaloper1dqwmtp0ewnzep83mtf0j73xrwza74ncavusujw,626
haqq_11235-1,TakamulFi Validator,haqqvaloper1gcw6ru5akcmzvr3anqre8f3m8eml2rmrz8m6sl,420
haqq_11235-1,Abyss Finance,haqqvaloper1uz39tak5j7cctq9ss3l4pvlnngmng338thy062,409
haqq_11235-1,Forest Staking,haqqvaloper1ktu3f367c0j0yet6apuefy8xt5n7eswns7yuff,402
haqq_11235-1,Halal Node,haqqvaloper1vk0v3xuusxh8tcu63nmzrll9xwfcnujev6pd4w,390
haqq_11235-1,Synergy Nodes,haqqvaloper1y4pfpkwpy6myskp7pne256k6smh2rjtaf0wcfl,312
haqq_11235-1,Palamar,haqqvaloper1xp597fjhgu6dx3a525htulkn36fqqntjaqvhct,237
haqq_11235-1,P-OPS Team,haqqvaloper1xwwut6nrqmqqyv4w5an4x0zwr8vt7vy7s723s6,235
haqq_11235-1,StakeBroker,haqqvaloper1rssz59ag9r4hm0tj8avp6x47uuqc9xtc8umtnr,234
haqq_11235-1,Nodes.Guru,haqqvaloper1esy5m56f7gsgckjgvwreq6yd95rp5k2uf58sqw,234
haqq_11235-1,SerGo,haqqvaloper15uexkcv25gshhyunn97369y6379flhm7dsn3dc,234
haqq_11235-1,StakeUp,haqqvaloper1ysps8cnwp868hw3srcsy8mkk9cvv7g70evv2v9,234
haqq_11235-1,L0vd.com,haqqvaloper188rzn2dgqtfx98eke434xtas9ngef9c5zfccsw,234
haqq_11235-1,🙏 uGaenn ⛅,haqqvaloper1m7esphm6f43vanux04ug9tyrxm8awrhd4sm6nh,234
haqq_11235-1,KonsorTech,haqqvaloper1qujkgnaxmy5ngyudunh04j6ctpt8dp4u8h9rk8,159
haqq_11235-1,01node,haqqvaloper1dr24vnl8veae8998c78vth6qrrmtnhle49vjqg,158
haqq_11235-1,tarabukinivan,haqqvaloper1xwpeshg6v7fdg55evd9pzlay22a407dnxaat00,157
haqq_11235-1,cyberomanov,haqqvaloper1rf3e3z60lqattw7vxxfu328pwlzu60knjlddsf,156
haqq_11235-1,Stake-Take,haqqvaloper1tnm7y48w5nh8wt0s2u0fxwu607xtqhk6v99773,156
haqq_11235-1,cryptobtcbuyer | Low fees 💚,haqqvaloper137867ch7xxe3a95a2rhs9xntzjp9q7yg0ylvgk,156
haqq_11235-1,digiser2,haqqvaloper1nekpsmetpxx2crsuzznuy4epv9eqvj03rtmxae,156
haqq_11235-1,2pilot,haqqvaloper1c5clg5vjnlmjn47yrs0uwhvsx8v3vvf7ygef74,156
haqq_11235-1,Blackhox,haqqvaloper1jt70r5w5q56fers0a4z2x95l92v360pw8mg5th,156
haqq_11235-1,DTEAM,haqqvaloper1gygy6q8dvpmwy6ps2yj8d503up3hssuv9gv6yu,156
haqq_11235-1,AlxVoy ⚡ ANODE.TEAM,haqqvaloper1wgm35c4nzs6ssgktd0zj4pefdr3h8ms5252mqc,1
injective-1,Everstake,injvaloper134dct56cq5v7uerxcy2cn4m06mqf4dxrlgpp24,798
