chain_id,validator_name,validator_address
celestia,kiln,celestiavaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqa02qlj
celestia,informal,celestiavaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5spge2ru
celestia,smartstake,celestiavaloper1tzm96yvupy3egtpg6uw0s2f4c85qayw3afwetd
celestia,validao,celestiavaloper1gfn5m2vjqk4kcdg2zwhzgpvu60jz0f9duhu594
comdex-1,crosnest,comdexvaloper12dseyeqwsv3lkxlks45p4fp7et4qnzn5vkavjf
comdex-1,witval,comdexvaloper10j3t6jxqjjnz4lkh3m2af7yxcf9773r4a8z8z3
comdex-1,stakewollecomautocompound,comdexvaloper15xevj3n6eq36t62sjjrsvf6hkuryg8w3pmpqy8
comdex-1,lavenderfivenodes,comdexvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zcpt5ph
comdex-1,validatrium,comdexvaloper1wg8m5kkhrrszyvgqq2d5t9c4fd0cqqhy04tlud
comdex-1,consensusone,comdexvaloper1flh26y7f2vsam4a6snwgrqaxkhe0g2yljstdqm
comdex-1,validblocks,comdexvaloper1l87lywr66ehhfuy3807nuwfjpmweyerdm8u602
comdex-1,chaintools,comdexvaloper1z6a9p43svtkzf5efmy78tae7qqz8p8cctyj6yg
comdex-1,chillvalidation,comdexvaloper1qr7eckxg5zgsp40sdwr9qj2arfx5ftgpggl98t
comdex-1,zenscape,comdexvaloper1gjcv70fqf4557g8uqsk83l82fccykx0ye43ul9
comdex-1,finality,comdexvaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5wh2dqrg
comdex-1,nodeofcosmonauts,comdexvaloper1yyc7vmzy9w2g79gswz9cx845hh7l275cw7eg2r
comdex-1,staketab,comdexvaloper1s9em43slvq8zk9xxkdfqgve9zxw4sha7hhkqa7
comdex-1,stakerhouse,comdexvaloper12q4a5qvuzzn2kspe6dekkhnl77ct52dr5vpwsk
comdex-1,posthumanstakedrop,comdexvaloper1963hcznh439kspqmjj5hv5h4nk2kphvats5ujk
comdex-1,cosmosspaces,comdexvaloper1ee63nuagkj5age25jhdytj6vawt89jqqxyw7ls
comdex-1,stavr,comdexvaloper1g6fm6xcgzrlm9d2apf3t8xvu7wrk509wxyy5rq
comdex-1,cosmoverse,comdexvaloper1txq98fyl406jvgv723dljnnqh5d33gaajyfmpg
cosmoshub-4,kahuna,cosmosvaloper17r0cp9zrtkvzlz7a2r09gmdxwqfyje98l3k9h6
cosmoshub-4,thecybernetics,cosmosvaloper18m9wncg0w74vusm4xu0mk6ha2lpdrqq7c9cjq3
cosmoshub-4,croutondigital,cosmosvaloper1nlfrwx5t3mm3cuqqkvjv6jv24m7s2z5utzfe8s
dydx-mainnet-1,nansen,dydxvaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqv2ttvgk
dydx-mainnet-1,stakecito,dydxvaloper18jr2wx3qsu8g9gep6jypcxunx2jvcjquxk60wc
