chain_id,validator_name,validator_address,target_weight
celestia,Staking Facilities,celestiavaloper1wu24jxpn9j0580ehjz344d58cf3t7lzrrgqmnr,814
celestia,Binary Builders,celestiavaloper15kpw453rgqrranltr8pcy9muryf3jjd7esw38j,774
celestia,IYKYK,celestiavaloper1amxp3ah9anq4pmpnsknls7sql3kras9hs8pu0g,686
celestia,Kiln,celestiavaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqa02qlj,663
celestia,ContributionDAO,celestiavaloper17srrapx2cvqyyy4rg3menq0hn86py8f3klelhl,645
celestia,Nansen | Stake to Stack Points,celestiavaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvjeqh0m,603
celestia,Upnode,celestiavaloper133t4gpv4vhpqgfn9gr8l4u423zrglg8rkqeupr,556
celestia,01node,celestiavaloper1murrqgqahxevedty0nzqrn5hj434fvffxufxcl,458
celestia,NodeStake,celestiavaloper19f0w9svr905fhefusyx4z8sf83j6et0g57nch8,443
celestia,Informal Systems,celestiavaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5spge2ru,442
celestia,Stakecito,celestiavaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7q5qhs58,422
celestia,Stakely.io,celestiavaloper1yknsyf9ws4ugtv3r9g43kwqkne4zmrupcxhlth,419
celestia,Easy 2 Stake,celestiavaloper1un77nfm6axkhkupe8fk4xl6fd4adz3y59fucpu,395
celestia,Chorus One,celestiavaloper15urq2dtp9qce4fyc85m6upwm9xul3049gwdz0x,366
celestia,ZKV,celestiavaloper187avawwq7qhanrkxf45mayztdqsr49hu8lezdh,351
celestia,Smart Stake 📈📊,celestiavaloper1tzm96yvupy3egtpg6uw0s2f4c85qayw3afwetd,337
celestia,XPRV,celestiavaloper1nwu3ugynh8m6r7aphv0uxnca84t7gnruvyye9c,311
celestia,Imperator.co,celestiavaloper1r5xt7twqmh39ky72f4txxjrhlt2z0qwwmdal8c,250
celestia,polkachu.com,celestiavaloper1jgqewpzn7dww5tlpnkypm72fm8tjznmw7ll7ls,167
