chain_id,validator_name,validator_address,target_weight
celestia,p2porg,celestiavaloper1r4kqtye4dzacmrwnh6f057p50pdjm8g59tlhhg,0
celestia,Imperator.co,celestiavaloper1r5xt7twqmh39ky72f4txxjrhlt2z0qwwmdal8c,250
celestia,Allnodes,celestiavaloper1rcm7tth05klgkqpucdhm5hexnk49dfda3l3hak,157
celestia,larryengineer,celestiavaloper1ryyzale2qcp3e35k0ze3kc0mpfdtw9jagcss3k,0
celestia,encapsulate(fkakingsuper),celestiavaloper1s0lankh33kprer2l22nank5rvsuh9ksa2xcd2y,0
celestia,strangelove,celestiavaloper1sl97x54v0u3extuj2zrf7h0qrrtpgpslfrjjry,0
celestia,bitnordic,celestiavaloper1slnzmhg3kwhc2c5y9atrt5jtmt3sauzzp4tguj,0
celestia,spidey,celestiavaloper1st4h4ymu52hwtl3s0n298t6adj0vputx8jw8xt,0
celestia,activenodes,celestiavaloper1t345w0vxnyyrf4eh43lpd3jl7z378rtsdn9tz3,0
celestia,Smart Stake 📈📊,celestiavaloper1tzm96yvupy3egtpg6uw0s2f4c85qayw3afwetd,337
celestia,swissstaking,celestiavaloper1u4vhh70lwlt2va7hw5evzl6sap92t0m9nqzmud,0
celestia,Easy 2 Stake,celestiavaloper1un77nfm6axkhkupe8fk4xl6fd4adz3y59fucpu,395
celestia,cosmostation,celestiavaloper1uqj5ul7jtpskk9ste9mfv6jvh0y3w34vtpz3gw,0
celestia,go,celestiavaloper1uvytvhunccudw8fzaxvsrumec53nawyj939gj9,0
celestia,keplr,celestiavaloper1uwmf03ke52vld2sa9khs0nslpgzwsm5xs5e4pn,0
celestia,Kiln,celestiavaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqa02qlj,663
celestia,ai,celestiavaloper1v5hrqlv8dqgzvy0pwzqzg0gxy899rm4klzxm07,0
celestia,alphab,celestiavaloper1v987evnk7hsqct7smdqpxqprhvlcxgt43kyewc,0
celestia,stakingcabin,celestiavaloper1vdp8q3v72mntewqqak56yk3gzz7h5ukmeym9hk,0
celestia,counterpoint,celestiavaloper1vfydl5r98zev8xc7j0mus28r63jcklsu63vuah,0
celestia,dsrv,celestiavaloper1vje2he3pcq3w5udyvla7zm9qd5yes6hzffsjxj,0
celestia,bwarelabs,celestiavaloper1vl3dkus7g0cj4lg0e2jrqk2reukmlht0ee7cr4,0
celestia,Staking Facilities,celestiavaloper1wu24jxpn9j0580ehjz344d58cf3t7lzrrgqmnr,814
celestia,Informal Systems,celestiavaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5spge2ru,442
celestia,figment,celestiavaloper1xqc7w3pe38kg4tswjt7mnvks7gy4p38vtsuycj,0
celestia,meria,celestiavaloper1yecxnyegvgm5dwsx0r3jsgr74ju6mlxdwkxx8g,0
celestia,Stakely.io,celestiavaloper1yknsyf9ws4ugtv3r9g43kwqkne4zmrupcxhlth,419
celestia,w3hitchhiker,celestiavaloper1zdrz4w2pwwffdvmpum0626vycel9caay9n3pll,0
celestia,Nocturnal Labs,celestiavaloper1zqjpfxtv3yp6kdlgra4hc9zehxgvpaw82hxr5w,45
comdex-1,✅ CryptoCrew Validators #IBCgang,comdexvaloper10d87jx68zygmwagu9ggzxpept07zs7nmcpyjr6,801
comdex-1,Witval,comdexvaloper10j3t6jxqjjnz4lkh3m2af7yxcf9773r4a8z8z3,800
comdex-1,Crosnest,comdexvaloper12dseyeqwsv3lkxlks45p4fp7et4qnzn5vkavjf,800
comdex-1,klubstaking,comdexvaloper12lmnmx83p5lcndvl0zrks3fqk3wspqm0hjtzzz,0
comdex-1,StakerHouse,comdexvaloper12q4a5qvuzzn2kspe6dekkhnl77ct52dr5vpwsk,89
comdex-1,omniflix,comdexvaloper1329mxprv0lqhdqm77urzr77gva2jmxmzd3kjek,0
comdex-1,Lavender.Five Nodes 🐝,comdexvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zcpt5ph,618
comdex-1,infstones,comdexvaloper145n9js0hxfrkkufhanvwwfr3dh2m4j6cped8w6,0
comdex-1,Enigma,comdexvaloper14he9lxj0cd5qnwy0haa73sdw7jv5wn2lj7qp63,202
comdex-1,Stakewolle.com |  Auto-compound,comdexvaloper15xevj3n6eq36t62sjjrsvf6hkuryg8w3pmpqy8,700
comdex-1,Golden Ratio Staking,comdexvaloper18hrnuttvs8efncze46g7q2ujy4p4yude83kndl,346
comdex-1,AutoStake 🛡️ Slash Protected,comdexvaloper195re7mhwh9urewm3rvaj9r7vm6j63c4sd78njd,753
comdex-1,POSTHUMAN 🧬 StakeDrop,comdexvaloper1963hcznh439kspqmjj5hv5h4nk2kphvats5ujk,89
comdex-1,kalpatech,comdexvaloper1adpw4sj0p4ux698rt50k9cmd7g5cewvyn7u0h2,0
comdex-1,Mandragora,comdexvaloper1aqq8kugxxtaumkyaw47hsl6t2ads8758fd57kf,148
comdex-1,Leonoor's Cryptoman,comdexvaloper1ccmys9wyh97khl5wve89wtuc35euylnuzfhp6w,248
comdex-1,Allnodes ⚡️ 0% fee,comdexvaloper1clsxq6wk4r4wsd0wjlqaa52p4t94r06lya7h5t,766
comdex-1,POSITIVA Ultra,comdexvaloper1czs368jkxgwflufajtvr0lhg6660aeplz9s5qn,286
comdex-1,Autonomy ( Formerly PrithviDevs ),comdexvaloper1d25vszat2kf6n8vs7xz9t9avmmn3d6w86yfghm,233
