Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
juba,dydxvaloper1fdrmapvpckl3jeeleyjykxfznmv5hy6gq93pk5,0,1E+18,1E+18,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
backup03 (Operated by Imperator.co),dydxvaloper1fjmazadgdl3u9jmkkvd2pdsfxddey9dgtgm2wy,0,1E+18,1E+18,100.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Moonlet,dydxvaloper122tyurlj833js82m8yhtrtum95mvmpvdyzht9y,0,1E+18,1E+18,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
KitKat | Slashing protection | Auto-compunding,dydxvaloper1wu45eh4exz9g76n07yrsy7f4p45r0xrfhynksu,0,1E+18,1E+18,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Colossus,dydxvaloper1093nw9yj4lzka9p87clxcqfklh998mv33a4n8d,0,1E+18,1E+18,5.00%,N,N,100%,0/5,N,"inactive, gov<5/10 (fraction=0.000)",0.00%,
Kalia Network,dydxvaloper1jgy6tqa9nrmhl52xrelpvwnupgzehjr7rjnp33,0,1E+18,1E+18,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
w3coins,dydxvaloper1j476eppe023uy45cud55v8ru8pre0f9j43ytg8,0,1E+18,1E+18,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
wavelayer (Operated by Imperator.co),dydxvaloper1nfd703cftgn2qgzr6at6329a20m0mhu6gftl3v,0,1E+18,1E+18,100.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
OmniFlix Network,dydxvaloper14jzj47drud7elv23kxjd6v86r352dcnw37l80a,0,1E+18,1E+18,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
dydx-hhl,dydxvaloper1454gykd2meg8v7q3yxzf83wxrn7jwtdwje8mrr,0,1E+18,1E+18,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Booga Beras,dydxvaloper1cunu0l5uvpl5w0raf4z82e09clxmg2axqlm6a5,0,1E+18,1E+18,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Pacific,dydxvaloper1aq4x5844g5qucg5pddmtg3mwkkqxjwz0f9j0r4,0,8.001E+17,8.001E+17,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
