Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Power,umeevaloper1ehk4zh99f86zfj8l77yhxqvml7uk5mayfhmje0,0,999900,999900,10.00%,N,N,,,N,inactive,0.00%,
Summit-Nodes,umeevaloper1uhwy40w2jg22m2yup4qepqa420x2tfz00dfqrw,0,999900,999900,5.00%,N,N,,,N,inactive,0.00%,
Lex_Prime,umeevaloper1ateyzjj2l3ywpu5mwgrqg6v30kdpucxctctvpm,0,999900,999900,5.00%,N,N,,,N,inactive,0.00%,
Stake64,umeevaloper17ytavssn2q0w0umy4lmsktcqddufcczkv35zav,0,999900,999900,5.00%,N,N,,,N,inactive,0.00%,
estf,umeevaloper1sc6pvcr4y2knmxlxfjwsqgvc5yesd5u9menq4t,0,950000,950000,10.00%,N,N,,,N,inactive,0.00%,
test003,umeevaloper1hr8s92kefpmss30ktztdrsrzyj0jevaqpu5a23,0,950000,950000,10.00%,N,N,,,N,inactive,0.00%,
AnotherRandomValidator,umeevaloper12u8af60ylyhc3f5dgkuw4u27lv5j0n3eef2krj,0,100000,100000,7.00%,N,N,,,N,inactive,0.00%,
abcdumee,umeevaloper1u3czw59ysyu94lgr2cmhm06vc9ttz64whayv6h,0,100000,100000,10.00%,N,N,,,N,inactive,0.00%,
Anonstake,umeevaloper1vjn3559ncztu87qj8v4ryasgny7vjfx793g893,0,72001,72001,8.00%,N,N,,,N,inactive,0.00%,
cygnus,umeevaloper1keufp3nvr8jh3pudgcpyeffnjqlfu3w3ktnd8z,0,12006,12006,5.00%,N,N,,,N,inactive,0.00%,
Korean Validator,umeevaloper16tzp90c94m3cfdaux8wq6765r4zyljdzyexyn8,0,12000,12000,10.00%,N,N,,,N,inactive,0.00%,
EZ Staking,umeevaloper1gjtvly9lel6zskvwtvlg5vhwpu9c9wawfkg8hd,0,511,511,5.00%,N,N,,,N,inactive,0.00%,
tokyo,umeevaloper1ptfsdhqnkdrmggu22vmpdznlc07r5rq7hysjsh,0,100,100,20.00%,N,N,,,N,"inactive, commission>10%",0.00%,
Noderunners,umeevaloper1za82ktg4knhvjf8l5w2x7vzkzcj7u26f0k6ree,0,10,10,5.00%,N,N,,,N,inactive,0.00%,
Old_Validator_Unstake,umeevaloper147u8t8kf7nmj3cy38kuhcvqgj3fc2qtm29cm8t,0,5,5,10.00%,N,N,,,N,inactive,0.00%,
paparai,umeevaloper1v55raag92j0wf36jqkkylnax4mfuk3auukr28m,0,2,2,10.00%,N,N,,,N,inactive,0.00%,
Gabbex,umeevaloper19mx90lg2k96w99gl6al067u93356e9er7hxarh,0,1,1,5.00%,N,N,,,N,inactive,0.00%,
Shinonome Systems | xxangelfire.eth,umeevaloper1gc6n7lr9zytq3npplt4fpa597fp6aadaclc07x,0,1,1,5.00%,N,N,,,N,inactive,0.00%,
"""umee.te""",umeevaloper1w3aa6f440qdzrgvmhx3tefhze54dm836ccstnt,0,1,1,10.00%,N,N,,,N,inactive,0.00%,
