Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
VitaValeriya,haqqvaloper18k4qjmancvhfy99qjv2uzdxjgjwav0hlwq7rws,0,936304422491900325831,9.36304E+20,5.00%,N,N,,,N,inactive,0.00%,
Redelagate pls!,haqqvaloper1dst2tpserk080w4yh7xcusecqdf7yegpw424xj,0,935718765421116354290,9.35719E+20,5.00%,N,N,,,N,inactive,0.00%,
Oldcat,haqqvaloper1y5plmnldwsdfwrspwzye7sg73j398jh8j6r42r,0,800390813920921964628,8.00391E+20,5.00%,N,Y,,,N,bottom_5%_stake,0.00%,
wb3addctd,haqqvaloper1qeg22wec94yauguddjc6eqrd4l45d4yguzxahx,0,772300230828691161059,7.723E+20,10.00%,N,N,,,N,inactive,0.00%,
ERTstake,haqqvaloper1g8lenuvtz3gse2dhvwh7taxypv9yzz8xgc0pp4,0,761539660090308651970,7.6154E+20,5.00%,N,N,,,N,inactive,0.00%,
OneNov,haqqvaloper1cf7x23t97zerhh7pq0v2vwlxdppnvrawj9duch,0,735223723486892761581,7.35224E+20,5.00%,N,N,,,N,inactive,0.00%,
Securestake,haqqvaloper19tx7harddqw6g80tvcm30ktqzwp526why06r4c,0,666073240654511948265,6.66073E+20,10.00%,N,N,,,N,inactive,0.00%,
sumoaps,haqqvaloper1hhycj4aea0j7hemvtsf89rf4lujhw0atfvwh08,0,5.81933E+20,5.81933E+20,10.00%,N,N,,,N,inactive,0.00%,
⭐️ PPNV Service ⭐️,haqqvaloper1zukfp0ht5nx6vlkx0lkcwgc5pyd9m6r6sdh0rj,0,567937671185860814167,5.67938E+20,10.00%,N,N,,,N,inactive,0.00%,
Mertsalov,haqqvaloper1e5z3re0e7wzy8ylmkf4e5v9ev6yp6kgsupg9qr,0,530003600597500000004,5.30004E+20,5.00%,N,N,,,N,inactive,0.00%,
Nodetropolis,haqqvaloper14rfd0vvjv8y79mnyhn07387hyh96j3023rha9e,0,4.69945E+20,4.69945E+20,5.00%,N,N,,,N,inactive,0.00%,
Noderunners,haqqvaloper1cmqgverauqy0q8dq22zpsztgs5vwdk2tp9uc70,0,464085798795000000002,4.64086E+20,10.00%,N,N,,,N,inactive,0.00%,
Nodes_Georgia,haqqvaloper13kukpp9a5s6dhy93es8ys8v00rtz0t4mhkcdr9,0,360014950399999148038,3.60015E+20,5.00%,N,N,,,N,inactive,0.00%,
