Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Wetez,bandvaloper1fd9m05k39lrwq2qyw3rszt7wumdm2s5m42k2n2,0,8095791,8095791,10.00%,N,N,,,N,inactive,0.00%,
Lefey,bandvaloper17vzyy636a3zluzrq7u7mhrkl3wrfa29wh7lg6p,0,7999200,7999200,10.00%,N,N,,,N,inactive,0.00%,
Biker4b,bandvaloper1f3fxlynz5jdpnf77g9es0cjxwlwr05sc8tz0fe,0,7179300,7179300,5.00%,N,N,,,N,inactive,0.00%,
Mich452,bandvaloper123qvcqtxu6a6lcdhsr2q52ta8khsj3g8szcssq,0,6798645,6798645,4.00%,N,N,,,N,inactive,0.00%,
SeaX Ventures,bandvaloper1um2flgfvteyyjsaxf85tjku8tdhcqhtpwaxpat,0,6009464,6009464,6.00%,N,N,,,N,inactive,0.00%,
Helion Band Validator,bandvaloper1v8ghn09qv5jzxd8g7unsttrqntn67gkth5eq5f,0,5999400,5999400,10.00%,N,N,,,N,inactive,0.00%,
BANDITS,bandvaloper1hg2p4397wssj8ttger9rphafxpcdz6nvngskxr,0,5887360,5887360,0.00%,N,N,,,N,inactive,0.00%,
Anchor Staking,bandvaloper1qf73zvv3jquf2znwx2qc7tkmgtz7tvq4dn65u7,0,5669891,5669891,3.00%,N,N,,,N,inactive,0.00%,
skynodes,bandvaloper18pvhw57fxtt0yh4ut55f2k9adshzyp7mqsu36y,0,5260440,5260440,1.00%,N,N,,,N,inactive,0.00%,
pathrock-mclb,bandvaloper19esqej9q2uffhjj5d3d23lsd0fuafxhdm98g2d,0,4999505,4999505,10.00%,N,N,,,N,inactive,0.00%,
STAKKY,bandvaloper1pvwmcawgl0h8cwje2gcv46r9l34u9crc8tc6hj,0,4999500,4999500,5.00%,N,N,,,N,inactive,0.00%,
BitMaxStaking,bandvaloper108jvszyayzzaacpscwczj7lvegq799wa9muyyu,0,4008389,4008389,10.00%,N,N,,,N,inactive,0.00%,
testvalidator,bandvaloper1m3fdqwp27vq3jncjtvrd5vqn74femut6kfsd0z,0,3999600,3999600,10.00%,N,N,,,N,inactive,0.00%,
TheBestNode,bandvaloper1sh7u6c0g2s5ysg6c69pywnn55jx5wel7cstm7s,0,3899400,3899400,5.00%,N,N,,,N,inactive,0.00%,
BlockSensus,bandvaloper1u6439zrwzrk7p943v0gtzmkewwg9yrthju9dra,0,3199753,3199753,10.00%,N,N,,,N,inactive,0.00%,
0% Fee to 2023 | Avaulto.com,bandvaloper1a2gppugantns8zad44dpdwew2dln4kfzkajgk4,0,3012992,3012992,0.00%,N,N,,,N,inactive,0.00%,
0% fee | Avaulto.com,bandvaloper1p7s39hake3mujfh4arees94zt9zdwfzpuzmjnj,0,2999700,2999700,0.00%,N,N,,,N,inactive,0.00%,
RydOne,bandvaloper124pgw5h6rcn5upr6z0g6uz8vjq93a6npu4mxsr,0,2999700,2999700,1.00%,N,N,,,N,inactive,0.00%,
JJack,bandvaloper1datx5lw9nsys67er535xwrdky96mttt54vsk6v,0,2999700,2999700,10.00%,N,N,,,N,inactive,0.00%,
NilniaBand,bandvaloper1wxqdw43g8sz9vxfhmnrc7shsy9r3lq2782knl2,0,2999700,2999700,5.00%,N,N,,,N,inactive,0.00%,
masternode,bandvaloper13trvxrt2ua7k7q80hgxspqvq9zecz86dpc8fqn,0,2999700,2999700,10.00%,N,N,,,N,inactive,0.00%,
Validator.run | 100% Slash Protected,bandvaloper1k8szgnmljy0kd90wmv4rrp7mqx6zw9vxdknk4x,0,2999700,2999700,5.00%,N,N,,,N,inactive,0.00%,
RootsterLabs,bandvaloper17qe0qs34zp9rtxdc6an58rl0ys24g8wu5krr6d,0,2999700,2999700,10.00%,N,N,,,N,inactive,0.00%,
QuantaTech,bandvaloper1val7t7e48tyxutjhg5ra4pd0485z0fs8q23g6e,0,2694299,2694299,5.00%,N,N,,,N,inactive,0.00%,
Terraform Labs,bandvaloper1gv2gnnqa5gs924mrenz2y4m5aadefwvgxq5nzr,0,2177211,2177211,2.00%,N,N,,,N,inactive,0.00%,
stake9,bandvaloper1aw58v3l9yrk262fjr9ah0c0a39xf9hwr4yw04u,0,2156692,2156692,5.00%,N,N,,,N,inactive,0.00%,
NQ4.NET,bandvaloper1yhj9uqacyjrqyt58d548ywayhw52ff524tw3gh,0,2019799,2019799,9.00%,N,N,,,N,inactive,0.00%,
🗼StableNode🗼,bandvaloper1ufjqrau2w0vjd84e5sp86lcvyn4ktqdet9mgs5,0,2000000,2000000,5.00%,N,N,,,N,inactive,0.00%,
MapleSyrup,bandvaloper1d7ul50ewkddfz8cd43695vggvrdmmq2nxuh5w5,0,1999800,1999800,10.00%,N,N,,,N,inactive,0.00%,
Indonode,bandvaloper145a0pq4v3dqhfgpvwtkt425arxydhz3ql7cn95,0,1999700,1999700,1.00%,N,N,,,N,inactive,0.00%,
blockpower,bandvaloper179ua384fgncu4vnxr0phkks9f3tmwh7u37jfsp,0,1924998,1924998,10.00%,N,N,,,N,inactive,0.00%,
Aussie_Band,bandvaloper1t645rmmml583ekrupjstxwkkxtugv5laqekjyk,0,1859587,1859587,8.00%,N,N,,,N,inactive,0.00%,
DECOMMISSIONED: Please do not stake,bandvaloper1vejwyg5f66qqxxpwa2jpg08yyfnv7yftnq08x0,0,1802611,1802611,10.00%,N,N,,,N,"inactive, name_excluded (decommissioned)",0.00%,
Finantra.com,bandvaloper1n23u6ne8pezu4ugtu5tpztn9m28lr77g9ujff3,0,1499978,1499978,0.00%,N,N,,,N,inactive,0.00%,
Cosmos Cats CLOSING redelegate please,bandvaloper1k68q3a9fwvke7pqc8tqftm6azddtd42f58px04,0,1209883,1209883,5.00%,N,N,,,N,"inactive, name_excluded (redelegate)",0.00%,
Redelegate,bandvaloper1mehkk6whtfzrjevqj52a5gl5q5lfz5t0q9gl3y,0,1149900,1149900,5.00%,N,N,,,N,"inactive, name_excluded (redelegate)",0.00%,
