Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Node39,cosmosvaloper1vcplycfpud0dkppqtamhnf6theqe8x2urqr2jn,0,164733507,164733507,5.00%,N,Y,0.999,3/10,N,gov<5/10 (fraction=0.300),0.00%,
UNSTAKE/RE-DELEGATE,cosmosvaloper1thl5syhmscgnj7whdyrydw3w6vy80044hjpnxh,0,163290926,163290926,8.00%,N,N,,,N,"inactive, name_excluded (re-delegate), uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
OneSixtyTwo,cosmosvaloper1pgsjyvkg3y2m7qas534zzdhsqsxqyph2jh3uck,0,162058968,162058968,15.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
stake2earn,cosmosvaloper1xhhquwctvwm40qn3nmmqq067pc2gw22eqkwgt0,0,160526913,160526913,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
SolidarityNode,cosmosvaloper1w3v6jtyk7y92rzv0k0jvkcwwt4xc0fta4acu07,0,154404577,154404577,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Laomedeia,cosmosvaloper12r4rsw7s2vnccwealt5zu0kukdxgwamyltmrud,0,139986000,139986000,8.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
LOA Labs,cosmosvaloper18624s66va2yh3fhf3tamnexdy69m460zzcdchd,0,133102987,133102987,5.50%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Cryptium Labs,cosmosvaloper1kj0h4kn4z5xvedu2nd9c4a9a559wvpuvu0h6qn,0,128299369,128299369,11.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Inactive Validator,cosmosvaloper1uyccnks6gn6g62fqmahf8eafkedq6xq400rjxr,0,126114220,126114220,5.00%,N,N,,,N,"inactive, name_excluded (inactive), uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
chain-node,cosmosvaloper1hvsdf03tl6w5pnfvfv5g8uphjd4wfw2h4gvnl7,0,124232818,124232818,50.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
