Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
[Shutting down] cosmostation please redelegate,osmovaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep88n0y4,258638284457,16714806201065,16456167916608,5.00%,N,Y,,,N,"top_N_stake, name_excluded (cosmostation), uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",5.40%,
Keplr,osmovaloper130r77dtdgz3yjyyskhrr3j2c90aqezugkhr3rs,0,13608378252884,13608378252884,5.00%,N,Y,0.997,10/10,Y,force_included (PoA partner),0.00%,9.44%
Inotel,osmovaloper1z89utvygweg5l56fsk8ak7t6hh88fd0axx2fya,0,12719019934876,12719019934876,5.00%,N,Y,1,0/10,N,"top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
Interop,osmovaloper146mj09yzu3mvz7pmy4dvs4z9wr2mst7rq8p8gy,33832559679,9529707924105,9495875364426,8.00%,N,Y,0.996,0/10,N,"top_N_stake, gov<5/10 (fraction=0.000)",0.71%,
The_Cybernetics,osmovaloper10w06wvmdd4xn7hr76gzrv570f7q5uweem5jcd7,0,9119348253076,9119348253076,5.00%,N,Y,0.995,4/10,N,"top_N_stake, gov<5/10 (fraction=0.400)",0.00%,
Mendel,osmovaloper1e20nfplac6cp5mga25a3ujvcgly3mfu73e6scn,0,6523589660238,6523589660238,5.00%,N,Y,0.999,0/10,N,"top_N_stake, gov<5/10 (fraction=0.000)",0.00%,
polkachu.com,osmovaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4phpkatp,0,5852225083863,5852225083863,5.00%,N,Y,1,9/10,Y,force_included (PoA partner),0.00%,8.95%
ECO Stake 🌱 | REStake.app,osmovaloper1u5v0m74mql5nzfx2yh43s2tke4mvzghr6m2n5t,0,5399341745174,5399341745174,5.00%,N,Y,1,6/10,N,top_N_stake,0.00%,
Solva (CryptoCrew),osmovaloper1h2c47vd943scjlfum6yc5frvu2l279lwjep5d6,0,5363265863411,5363265863411,5.00%,N,Y,0.997,9/10,Y,force_included (PoA partner),0.00%,8.20%
HighStakes.ch | Daily Airdrops,osmovaloper1czsuul2n7252wcrvk9dvjcjg2qn2qcdd9ue74s,229946941861,4926591397431,4696644455570,5.00%,N,Y,1,10/10,Y,OK,4.80%,7.19%
