Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
p10node,injvaloper189yv2c3szv2wn5ar9akmgnndklkw837ekxxumu,0,1.05E+17,1.05E+17,10.00%,N,N,,,N,inactive,0.00%,
Ninja Blaze,injvaloper1vtxtupx0g26u6phtu4vc8cx4szanqz3g83x2sevgu4dxjfu252rqgaltqd,0,1E+17,1E+17,7.50%,N,N,,,N,inactive,0.00%,
Terran One,injvaloper175x4lvxpwmmwt5m76yqz0ace8dwkjyjjj7sxdj,0,88000043607465704,8.8E+16,10.00%,N,N,,,N,inactive,0.00%,
metaONE,injvaloper1aqhzfz4ssqj5h95ntwgfhtsd65knp0e7tltszk,0,56751432294878333,5.67514E+16,5.00%,N,N,,,N,inactive,0.00%,
Matrixed.Link,injvaloper1cwzl3q4h5v8yvzlp64h7fwnduzut3f4nst2gdp,0,50896975767802537,5.0897E+16,5.00%,N,N,,,N,inactive,0.00%,
EarnX(Phasing Out),injvaloper1y28s5jpaxg7qr06c0thfqf5wnjurq6etx7aret,0,35494475950683443,3.54945E+16,5.00%,N,N,,,N,inactive,0.00%,
KingSuper,injvaloper1d2x0t42a6anth3lt38ld5997m6e5ya5frn7u8h,0,22005829760914655,2.20058E+16,10.00%,N,N,,,N,inactive,0.00%,
Galaxy,injvaloper10er2rpmfux7dwyrqfgre90e4dqmsj5n06twg4l,0,21999862537846461,2.19999E+16,7.00%,N,N,,,N,inactive,0.00%,
Blockval,injvaloper1nc584wu0yl6c3vj2zxv6700mdq5c8hx3e7ag5t,0,21741430038088052,2.17414E+16,5.00%,N,N,,,N,inactive,0.00%,
Daily ExtraRewards | Nodeof Cosmonauts,injvaloper1d7uejj7he40g6g999dlpfg5egeq9jvkmdzs066,0,17756835730518460,1.77568E+16,5.00%,N,N,,,N,inactive,0.00%,
mykk,injvaloper1lq4ceva4xqm4l6ukhtq3c8akxyms8au36pnter,0,1.03E+16,1.03E+16,6.00%,N,N,,,N,inactive,0.00%,
SmartNodes,injvaloper1vwzmwq3vsu7pg24v5pxqvgrp82acl6fxl23ent,0,10100000006007459,1.01E+16,5.00%,N,N,,,N,inactive,0.00%,
Node,injvaloper1s9d6s3q8n9a6vh0jf59d279rr4wy7hr9sl0qsp,0,1.01E+16,1.01E+16,5.00%,N,N,,,N,inactive,0.00%,
inactive,injvaloper19vhp7hgxetnglngyfuft0342lezvutyd4jk8nd,0,10055201930685294,1.00552E+16,5.00%,N,N,,,N,"inactive, name_excluded (inactive)",0.00%,
Architect Nodes,injvaloper1gzycxekfxq2hvu9jt255aajvlakay9nvs4at6q,0,10000000000009999,1E+16,5.00%,N,N,,,N,inactive,0.00%,
undelegate,injvaloper1mjwqdezqw0m3nalrc8380t29z54wx5emy9whun,0,1E+16,1E+16,5.00%,N,N,,,N,"inactive, name_excluded (undelegate)",0.00%,
0% Fee to 2024 | Octopus,injvaloper1w0as8yvc4se5s8alux2wy8kj6qt3n5p34d0x6f,0,9000000000010001,9E+15,5.00%,N,N,,,N,inactive,0.00%,
this_is_moniker,injvaloper1u5m8vf5yw49gut3lrk3trje0zdvlnpdu9vhevd,0,2E+15,2E+15,10.00%,N,N,,,N,inactive,0.00%,
🍀LuckyFriday.io🍀,injvaloper17z69jk7e36zqjday7llt3z26c2lhaj4qt3c208,0,1.1E+15,1.1E+15,5.00%,N,N,,,N,inactive,0.00%,
Crypteloid,injvaloper1xd0pgs5r04whkkpw45wrl757rvd3qre4rjzp5z,0,1002010000010003,1.00201E+15,5.00%,N,N,,,N,inactive,0.00%,
undelegate,injvaloper1x5y65hgngh77sxta6s2vpjnfjep3ltllkh44le,0,1000002986026357,1E+15,5.00%,N,N,,,N,"inactive, name_excluded (undelegate)",0.00%,
InjStaking,injvaloper1yllvlrapk6zzpy7yu8n7mvtd02uecsyxyuua9z,0,1E+15,1E+15,5.00%,N,N,,,N,inactive,0.00%,
Offline,injvaloper13gq4msx4z03ye5gef35yjz9nqtg6ja2yqj6csq,0,423882852218620,423882852218620,5.00%,N,N,,,N,inactive,0.00%,
HT Digital Assets,injvaloper17h9fcugwdejlrcv5622wchagp32aqm7yw5wzrn,0,100010000,100010000,5.00%,N,N,,,N,inactive,0.00%,
none,injvaloper156anrjzys4tnkawruadm4cakrk9vxrd567myrl,0,1010000,1010000,10.00%,N,N,,,N,inactive,0.00%,
Spotonchain.ai - Stake for Airdrop,injvaloper1htzmy9rzpgd7z09xqntj26q97gc960nptek6c6,0,1010000,1010000,5.00%,N,N,,,N,inactive,0.00%,
